,country_zone,country_name_en,country_currency_code,day,new_customer_amount,generic_customer_amount,total_amount
9193,LATAM,Chile,CLP,2018-07-30,0.0,14685511.698149424,16800632.492004313
9194,LATAM,Chile,CLP,2018-07-31,0.0,17261506.120137483,17746780.608444564
9195,LATAM,Chile,CLP,2018-08-01,0.0,14068059.606819281,14800679.150054336
9196,LATAM,Chile,CLP,2018-08-02,0.0,17202017.11547161,17092618.670275696
9197,LATAM,Chile,CLP,2018-08-03,0.0,15693709.86831684,16440884.854746247
9198,LATAM,Chile,CLP,2018-08-04,0.0,31714471.904993378,33372361.254674226
9199,LATAM,Chile,CLP,2018-08-05,0.0,20792603.46851885,22114623.19718954
9200,LATAM,Chile,CLP,2018-08-06,0.0,10486352.738752708,10855888.191540856
9201,LATAM,Chile,CLP,2018-08-07,0.0,10874395.980345367,11374208.188323887
9202,LATAM,Chile,CLP,2018-08-08,0.0,13702064.427733503,13675483.574240984
9203,LATAM,Chile,CLP,2018-08-09,0.0,14865206.066108936,15166191.363140665
9204,LATAM,Chile,CLP,2018-08-10,0.0,18895770.013771974,19292333.839006256
9205,LATAM,Chile,CLP,2018-08-11,0.0,28250068.173343033,28068065.316523775
9206,LATAM,Chile,CLP,2018-08-12,0.0,20372112.88734864,20822627.1163377
9207,LATAM,Chile,CLP,2018-08-13,0.0,13219962.450028295,13877771.00303703
9208,LATAM,Chile,CLP,2018-08-14,0.0,12505686.753010781,14291610.832233194
9209,LATAM,Chile,CLP,2018-08-15,0.0,17225265.946656015,17316103.432478674
9210,LATAM,Chile,CLP,2018-08-16,0.0,16218109.033459887,17756648.17982777
9211,LATAM,Chile,CLP,2018-08-17,0.0,14681603.661346557,14975388.777193865
9212,LATAM,Chile,CLP,2018-08-18,0.0,25684521.76811366,26180239.8422987
9213,LATAM,Chile,CLP,2018-08-19,0.0,19026410.101182114,20351566.89340885
9214,LATAM,Chile,CLP,2018-08-20,0.0,14597173.22905785,14752249.623687735
9215,LATAM,Chile,CLP,2018-08-21,0.0,12085470.886445764,12829849.987135254
9216,LATAM,Chile,CLP,2018-08-22,0.0,11803352.279557586,13372211.942753159
9217,LATAM,Chile,CLP,2018-08-23,0.0,14389085.777387708,14644304.507370891
9218,LATAM,Chile,CLP,2018-08-24,0.0,21369459.830611043,21719162.661256745
9219,LATAM,Chile,CLP,2018-08-25,0.0,21913022.554906473,23092075.485979293
9220,LATAM,Chile,CLP,2018-08-26,0.0,19643835.607227884,19782522.174041662
9221,LATAM,Chile,CLP,2018-08-27,0.0,12050803.67562305,11660443.08340919
9222,LATAM,Chile,CLP,2018-08-28,0.0,9031535.083756912,9532534.767770773
9223,LATAM,Chile,CLP,2018-08-29,0.0,11982200.349297883,11949411.83190421
9224,LATAM,Chile,CLP,2018-08-30,0.0,12239302.203590836,12476797.41065852
9225,LATAM,Chile,CLP,2018-08-31,0.0,19197158.520950027,19352270.362625744
9226,LATAM,Chile,CLP,2018-09-01,0.0,38705887.71299306,38689985.28205714
9227,LATAM,Chile,CLP,2018-09-02,0.0,25528399.685631763,28321352.18250917
9228,LATAM,Chile,CLP,2018-09-03,0.0,11820043.407263257,11763022.403163368
9229,LATAM,Chile,CLP,2018-09-04,0.0,13728818.08557445,14676494.855866166
9230,LATAM,Chile,CLP,2018-09-05,0.0,13978422.889674146,14427399.603050288
9231,LATAM,Chile,CLP,2018-09-06,0.0,14077023.278533794,14106621.561802678
9232,LATAM,Chile,CLP,2018-09-07,0.0,19900458.926402118,20171194.60069782
9233,LATAM,Chile,CLP,2018-09-08,0.0,23131785.039071467,23754328.21235909
9234,LATAM,Chile,CLP,2018-09-09,0.0,21724803.172424603,22647308.109295584
9235,LATAM,Chile,CLP,2018-09-10,0.0,15026822.440694641,15506536.173686987
9236,LATAM,Chile,CLP,2018-09-11,0.0,13387768.764992237,13983274.704072265
9237,LATAM,Chile,CLP,2018-09-12,0.0,17838251.710211452,18588842.905682825
9238,LATAM,Chile,CLP,2018-09-13,0.0,15654749.134067845,17367266.81225499
9239,LATAM,Chile,CLP,2018-09-14,0.0,17739868.43450752,20136509.666352186
9240,LATAM,Chile,CLP,2018-09-15,0.0,16630375.899997301,16540863.247512575
9241,LATAM,Chile,CLP,2018-09-16,0.0,10972819.13397586,11918572.902031243
9242,LATAM,Chile,CLP,2018-09-17,0.0,11420821.053591648,11954737.750540318
9243,LATAM,Chile,CLP,2018-09-20,0.0,15455979.824570527,16870680.28544709
9244,LATAM,Chile,CLP,2018-09-21,0.0,68162356.21326753,70572493.90781236
9245,LATAM,Chile,CLP,2018-09-22,0.0,20166825.75229915,21697043.704658203
9246,LATAM,Chile,CLP,2018-09-23,0.0,16467913.227192383,17229572.76272448
9247,LATAM,Chile,CLP,2018-09-24,0.0,7887189.241433366,7979351.560593959
9248,LATAM,Chile,CLP,2018-09-25,0.0,8552361.91821349,10232210.712786643
9249,LATAM,Chile,CLP,2018-09-26,0.0,12487116.931876069,13638693.971549138
9250,LATAM,Chile,CLP,2018-09-27,0.0,16268169.123934712,17052417.289422616
9251,LATAM,Chile,CLP,2018-09-28,0.0,17911932.82585191,17849794.154510174
9252,LATAM,Chile,CLP,2018-09-29,0.0,36771551.28375699,38878811.69519886
9253,LATAM,Chile,CLP,2018-09-30,0.0,35431360.51321719,36489649.79002453
9254,LATAM,Chile,CLP,2018-10-01,0.0,14185132.337437607,14533395.131846428
9255,LATAM,Chile,CLP,2018-10-02,0.0,12023660.100277964,13704997.670776019
9256,LATAM,Chile,CLP,2018-10-03,0.0,12307918.822558189,13719592.991896933
9257,LATAM,Chile,CLP,2018-10-04,0.0,11310757.976286402,11056992.57518229
9258,LATAM,Chile,CLP,2018-10-05,0.0,24044830.0455863,25735951.00073371
9259,LATAM,Chile,CLP,2018-10-06,0.0,29923815.645152524,30254868.898810398
9260,LATAM,Chile,CLP,2018-10-07,0.0,18233371.068328124,19099160.731869508
9261,LATAM,Chile,CLP,2018-10-08,0.0,8781239.062263511,9535915.529766904
9262,LATAM,Chile,CLP,2018-10-09,0.0,8834839.426440708,10448034.4822094
9263,LATAM,Chile,CLP,2018-10-10,0.0,8983238.48381218,11069704.771993432
9264,LATAM,Chile,CLP,2018-10-11,0.0,8719968.843544632,10608844.43650245
9265,LATAM,Chile,CLP,2018-10-12,0.0,8150467.743462371,10181942.37091756
9266,LATAM,Chile,CLP,2018-10-13,0.0,21982715.87789094,23309760.225308176
9267,LATAM,Chile,CLP,2018-10-14,0.0,20830735.628071543,21398770.10663255
9268,LATAM,Chile,CLP,2018-10-15,0.0,16884566.665651385,19825333.34364405
9269,LATAM,Chile,CLP,2018-10-16,0.0,8142115.533288442,10339353.839691563
9270,LATAM,Chile,CLP,2018-10-17,0.0,9019748.941018106,11602500.456117697
9271,LATAM,Chile,CLP,2018-10-18,0.0,11155974.019784622,11888828.399698308
9272,LATAM,Chile,CLP,2018-10-19,0.0,11559365.832222102,13557480.358669594
9273,LATAM,Chile,CLP,2018-10-20,0.0,16051211.049045363,18015349.582063846
9274,LATAM,Chile,CLP,2018-10-21,0.0,11001034.982457332,15240253.534523806
9275,LATAM,Chile,CLP,2018-10-22,0.0,7179387.061160739,8760861.441791417
9276,LATAM,Chile,CLP,2018-10-23,0.0,6436806.898047174,12039784.075250339
9277,LATAM,Chile,CLP,2018-10-24,0.0,7822383.179892845,10036671.515340675
9278,LATAM,Chile,CLP,2018-10-25,0.0,12287745.022599623,15597568.618261717
9279,LATAM,Chile,CLP,2018-10-26,0.0,10006417.461723918,13456026.48262055
9280,LATAM,Chile,CLP,2018-10-27,0.0,17079077.898768254,21296186.35599764
9281,LATAM,Chile,CLP,2018-10-28,0.0,17847472.373008244,20610924.0659928
9282,LATAM,Chile,CLP,2018-10-29,0.0,9701338.03089871,11666420.341512443
9283,LATAM,Chile,CLP,2018-10-30,0.0,8536933.591515549,11247644.51118431
9284,LATAM,Chile,CLP,2018-10-31,0.0,13085813.105080886,15686274.850453788
9285,LATAM,Chile,CLP,2018-11-01,0.0,14639753.992862336,15980813.216025002
9286,LATAM,Chile,CLP,2018-11-02,0.0,21717390.308965195,23963377.165147398
9287,LATAM,Chile,CLP,2018-11-03,0.0,22428657.437967803,25063236.964953043
9288,LATAM,Chile,CLP,2018-11-04,0.0,13257367.945141455,15253457.559095852
9289,LATAM,Chile,CLP,2018-11-05,0.0,11097512.979447851,12105963.709816812
9290,LATAM,Chile,CLP,2018-11-06,0.0,10716474.960287543,11796750.267271563
9291,LATAM,Chile,CLP,2018-11-07,0.0,11754887.306145154,13641720.26308696
9292,LATAM,Chile,CLP,2018-11-08,0.0,8813943.392923335,10382891.673733484
9293,LATAM,Chile,CLP,2018-11-09,0.0,9551321.7020612,12928534.56272875
9294,LATAM,Chile,CLP,2018-11-10,0.0,26234358.61952118,27868777.59398118
9295,LATAM,Chile,CLP,2018-11-11,0.0,18461548.133222982,21692364.694608513
